Month,P Transport Cost,Count of Inf,Inf Cost
1,15.000000,0,0.000000 
2,15.000000,0,0.000000 
3,15.000000,0,0.000000 
4,15.000000,0,0.000000 
5,15.000000,0,0.000000 
6,15.000000,0,0.000000 
7,15.000000,0,0.000000 
8,15.000000,0,0.000000 
9,15.000000,0,0.000000 
10,15.000000,0,0.000000 
11,15.000000,0,0.000000 
12,15.300000,0,0.000000 
12,15.300000,0,0.000000 
14,15.300000,0,0.000000 
15,15.300000,0,0.000000 
16,15.300000,0,0.000000 
17,15.300000,0,0.000000 
18,15.300000,0,0.000000 
19,15.300000,0,0.000000 
20,15.300000,0,0.000000 
21,15.300000,0,0.000000 
22,15.300000,0,0.000000 
23,15.300000,0,0.000000 
24,15.300000,0,0.000000 
24,15.606000,0,0.000000 
26,15.606000,0,0.000000 
27,15.606000,0,0.000000 
28,15.606000,0,0.000000 
29,15.606000,0,0.000000 
30,15.606000,0,0.000000 
31,15.606000,0,0.000000 
32,15.606000,0,0.000000 
33,15.606000,0,0.000000 
34,15.606000,0,0.000000 
35,15.606000,0,0.000000 
36,15.606000,0,0.000000 
36,15.918120,0,0.000000 
38,15.918120,0,0.000000 
39,15.918120,0,0.000000 
40,15.918120,0,0.000000 
41,15.918120,0,0.000000 
42,15.918120,0,0.000000 
43,15.918120,0,0.000000 
44,15.918120,0,0.000000 
45,15.918120,0,0.000000 
46,15.918120,0,0.000000 
47,15.918120,0,0.000000 
48,15.918120,0,0.000000 
48,16.236482,0,0.000000 
50,16.236482,0,0.000000 
51,16.236482,0,0.000000 
52,16.236482,0,0.000000 
53,16.236482,0,0.000000 
54,16.236482,0,0.000000 
55,16.236482,0,0.000000 
56,16.236482,0,0.000000 
57,16.236482,0,0.000000 
58,16.236482,0,0.000000 
59,16.236482,0,0.000000 
60,16.236482,0,0.000000 
60,16.561212,0,0.000000 
62,16.561212,0,0.000000 
63,16.561212,0,0.000000 
64,16.561212,0,0.000000 
65,16.561212,0,0.000000 
66,16.561212,0,0.000000 
67,16.561212,0,0.000000 
68,16.561212,0,0.000000 
69,16.561212,0,0.000000 
70,16.561212,0,0.000000 
71,16.561212,0,0.000000 
72,16.892436,0,0.000000 
72,16.892436,0,0.000000 
74,16.892436,0,0.000000 
75,16.892436,0,0.000000 
76,16.892436,0,0.000000 
77,16.892436,0,0.000000 
78,16.892436,0,0.000000 
79,16.892436,0,0.000000 
80,16.892436,0,0.000000 
81,16.892436,0,0.000000 
82,16.892436,0,0.000000 
83,16.892436,0,0.000000 
84,16.892436,0,0.000000 
84,17.230285,0,0.000000 
86,17.230285,0,0.000000 
87,17.230285,0,0.000000 
88,17.230285,0,0.000000 
89,17.230285,0,0.000000 
90,17.230285,0,0.000000 
91,17.230285,0,0.000000 
92,17.230285,0,0.000000 
93,17.230285,0,0.000000 
94,17.230285,0,0.000000 
95,17.230285,0,0.000000 
96,17.230285,0,0.000000 
96,17.574891,0,0.000000 
98,17.574891,0,0.000000 
99,17.574891,0,0.000000 
100,17.574891,0,0.000000 
101,17.574891,0,0.000000 
102,17.574891,0,0.000000 
103,17.574891,0,0.000000 
104,17.574891,0,0.000000 
105,17.574891,0,0.000000 
106,17.574891,0,0.000000 
107,17.574891,0,0.000000 
108,17.574891,3,0.700000 
108,17.926389,3,0.700000 
110,17.926389,3,1.300000 
111,17.926389,3,1.500000 
112,17.926389,3,1.740000 
113,17.926389,3,1.980000 
114,17.926389,3,2.220000 
115,17.926389,3,2.460000 
116,17.926389,3,2.500000 
117,17.926389,3,2.500000 
118,17.926389,3,2.500000 
119,17.926389,3,2.500000 
120,17.926389,9,4.940000 
120,18.284916,9,4.940000 
122,18.284916,9,6.060000 
123,18.284916,9,6.260000 
124,18.284916,9,6.300000 
125,18.284916,9,6.300000 
126,18.284916,9,6.300000 
127,18.284916,9,6.300000 
128,18.284916,9,6.300000 
129,18.284916,9,6.300000 
130,18.284916,9,6.300000 
131,18.284916,9,6.300000 
132,18.650615,14,7.350000 
132,18.650615,14,7.350000 
134,18.650615,14,7.830000 
135,18.650615,14,8.070000 
136,18.650615,14,8.270000 
137,18.650615,14,8.590000 
138,18.650615,14,8.870000 
139,18.650615,14,8.950000 
140,18.650615,14,8.950000 
141,18.650615,14,8.950000 
142,18.650615,14,8.950000 
143,18.650615,14,8.950000 
144,18.650615,20,11.070000 
144,19.023627,20,11.070000 
146,19.023627,20,12.030000 
147,19.023627,20,12.470000 
148,19.023627,20,12.670000 
149,19.023627,20,12.750000 
150,19.023627,20,12.750000 
151,19.023627,20,12.750000 
152,19.023627,20,12.750000 
153,19.023627,20,12.750000 
154,19.023627,20,12.750000 
155,19.023627,20,12.750000 
156,19.023627,25,13.760000 
156,19.404099,25,13.760000 
158,19.404099,25,15.120000 
159,19.404099,25,15.400000 
160,19.404099,25,15.400000 
161,19.404099,25,15.400000 
162,19.404099,25,15.400000 
163,19.404099,25,15.400000 
164,19.404099,25,15.400000 
165,19.404099,25,15.400000 
166,19.404099,25,15.400000 
167,19.404099,25,15.400000 
168,19.404099,31,17.320000 
168,19.792181,31,17.320000 
170,19.792181,31,18.080000 
171,19.792181,31,18.320000 
172,19.792181,31,18.600000 
173,19.792181,31,18.840000 
174,19.792181,31,18.840000 
175,19.792181,31,18.920000 
176,19.792181,31,18.960000 
177,19.792181,31,19.040000 
178,19.792181,31,19.160000 
179,19.792181,31,19.200000 
180,19.792181,36,20.290000 
180,20.188025,36,20.290000 
182,20.188025,36,20.970000 
183,20.188025,36,21.250000 
184,20.188025,36,21.450000 
185,20.188025,36,21.570000 
186,20.188025,36,21.650000 
187,20.188025,36,21.850000 
188,20.188025,36,21.850000 
189,20.188025,36,21.850000 
190,20.188025,36,21.850000 
191,20.188025,36,21.850000 
192,20.591786,42,24.010000 
192,20.591786,42,24.010000 
194,20.591786,42,24.810000 
195,20.591786,42,25.290000 
196,20.591786,42,25.610000 
197,20.591786,42,25.650000 
198,20.591786,42,25.650000 
199,20.591786,42,25.650000 
200,20.591786,42,25.650000 
201,20.591786,42,25.650000 
202,20.591786,42,25.650000 
203,20.591786,42,25.650000 
204,20.591786,47,26.620000 
204,21.003621,47,26.620000 
206,21.003621,47,27.100000 
207,21.003621,47,27.460000 
208,21.003621,47,27.780000 
209,21.003621,47,28.020000 
210,21.003621,47,28.140000 
211,21.003621,47,28.220000 
212,21.003621,47,28.300000 
213,21.003621,47,28.300000 
214,21.003621,47,28.300000 
215,21.003621,47,28.300000 
216,21.003621,53,30.820000 
216,21.423694,53,30.820000 
218,21.423694,53,31.860000 
219,21.423694,53,32.060000 
220,21.423694,53,32.100000 
221,21.423694,53,32.100000 
222,21.423694,53,32.100000 
223,21.423694,53,32.100000 
224,21.423694,53,32.100000 
225,21.423694,53,32.100000 
226,21.423694,53,32.100000 
227,21.423694,53,32.100000 
228,21.423694,58,33.430000 
228,21.852168,58,33.430000 
230,21.852168,58,34.350000 
231,21.852168,58,34.510000 
232,21.852168,58,34.590000 
233,21.852168,58,34.710000 
234,21.852168,58,34.710000 
235,21.852168,58,34.750000 
236,21.852168,58,34.750000 
237,21.852168,58,34.750000 
238,21.852168,58,34.750000 
239,21.852168,58,34.750000 
240,21.852168,64,36.870000 
240,22.289211,64,36.870000 
242,22.289211,64,37.310000 
243,22.289211,64,37.630000 
244,22.289211,64,38.070000 
245,22.289211,64,38.350000 
246,22.289211,64,38.550000 
247,22.289211,64,38.550000 
248,22.289211,64,38.550000 
249,22.289211,64,38.550000 
250,22.289211,64,38.550000 
251,22.289211,64,38.550000 
252,22.734995,69,39.720000 
252,22.734995,69,39.720000 
254,22.734995,69,40.600000 
255,22.734995,69,40.760000 
256,22.734995,69,41.080000 
257,22.734995,69,41.120000 
258,22.734995,69,41.160000 
259,22.734995,69,41.200000 
260,22.734995,69,41.200000 
261,22.734995,69,41.200000 
262,22.734995,69,41.200000 
263,22.734995,69,41.200000 
264,22.734995,75,43.520000 
264,23.189695,75,43.520000 
266,23.189695,75,44.400000 
267,23.189695,75,44.680000 
268,23.189695,75,44.760000 
269,23.189695,75,44.920000 
270,23.189695,75,44.920000 
271,23.189695,75,45.000000 
272,23.189695,75,45.000000 
273,23.189695,75,45.000000 
274,23.189695,75,45.000000 
275,23.189695,75,45.000000 
276,23.189695,80,45.970000 
276,23.653489,80,45.970000 
278,23.653489,80,46.850000 
279,23.653489,80,46.970000 
280,23.653489,80,47.050000 
281,23.653489,80,47.250000 
282,23.653489,80,47.450000 
283,23.653489,80,47.570000 
284,23.653489,80,47.650000 
285,23.653489,80,47.650000 
286,23.653489,80,47.650000 
287,23.653489,80,47.650000 
288,23.653489,86,49.810000 
288,24.126559,86,49.810000 
290,24.126559,86,50.370000 
291,24.126559,86,50.650000 
292,24.126559,86,50.730000 
293,24.126559,86,50.810000 
294,24.126559,86,51.050000 
295,24.126559,86,51.330000 
296,24.126559,86,51.410000 
297,24.126559,86,51.450000 
298,24.126559,86,51.450000 
299,24.126559,86,51.450000 
300,24.126559,91,53.420000 
300,24.609090,91,53.420000 
302,24.609090,91,54.100000 
303,24.609090,91,54.100000 
304,24.609090,91,54.100000 
305,24.609090,91,54.100000 
306,24.609090,91,54.100000 
307,24.609090,91,54.100000 
308,24.609090,91,54.100000 
309,24.609090,91,54.100000 
310,24.609090,91,54.100000 
311,24.609090,91,54.100000 
312,25.101272,97,56.620000 
312,25.101272,97,56.620000 
314,25.101272,97,57.180000 
315,25.101272,97,57.220000 
316,25.101272,97,57.300000 
317,25.101272,97,57.380000 
318,25.101272,97,57.460000 
319,25.101272,97,57.620000 
320,25.101272,97,57.780000 
321,25.101272,97,57.820000 
322,25.101272,97,57.900000 
323,25.101272,97,57.900000 
324,25.101272,102,58.830000 
324,25.603297,102,58.830000 
326,25.603297,102,59.030000 
327,25.603297,102,59.190000 
328,25.603297,102,59.310000 
329,25.603297,102,59.310000 
330,25.603297,102,59.590000 
331,25.603297,102,59.710000 
332,25.603297,102,59.790000 
333,25.603297,102,60.030000 
334,25.603297,102,60.070000 
335,25.603297,102,60.350000 
336,25.603297,108,62.590000 
336,26.115363,108,62.590000 
338,26.115363,108,63.670000 
339,26.115363,108,63.750000 
340,26.115363,108,63.790000 
341,26.115363,108,63.990000 
342,26.115363,108,64.070000 
343,26.115363,108,64.190000 
344,26.115363,108,64.230000 
345,26.115363,108,64.270000 
346,26.115363,108,64.350000 
347,26.115363,108,64.350000 
348,26.115363,113,65.280000 
348,26.637670,113,65.280000 
350,26.637670,113,65.760000 
351,26.637670,113,65.880000 
352,26.637670,113,66.200000 
353,26.637670,113,66.400000 
354,26.637670,113,66.560000 
355,26.637670,113,66.680000 
356,26.637670,113,66.720000 
357,26.637670,113,66.800000 
358,26.637670,113,67.000000 
359,26.637670,113,67.000000 
360,26.637670,119,69.000000 
360,27.170424,119,69.000000 
